,f_vol,f_connect,f_discon,f_cur,f_cost,rbs,num_bats,w1,w2,w3
33,1.0,1.0,1.0,0.9999999999999986,0.8235294117647058,type B,7,0.6352941176470587,0.5441176470588236,0.5441176470588232
34,1.0,1.0,1.0,0.1428571428571426,0.4117647058823529,type C,7,0.5462184873949579,0.6470588235294118,0.4327731092436975
35,1.0,0.2857142857142857,1.0,0.1428571428571429,0.4705882352941176,type D,7,0.39159663865546224,0.453781512605042,0.2394957983193277
36,1.0,1.0,1.0,0.142857142857143,0.6764705882352942,type E,7,0.4932773109243698,0.5808823529411764,0.36659663865546216
37,1.0,1.0,1.0,0.9999999999999988,0.5882352941176471,type F,7,0.6823529411764704,0.6029411764705882,0.6029411764705879
38,1.0,1.0,1.0,0.9999999999999984,0.5294117647058824,type G,7,0.6941176470588233,0.6176470588235294,0.617647058823529
39,1.0,1.0,1.0,0.9999999999999986,0.5588235294117647,type H,7,0.6882352941176468,0.6102941176470589,0.6102941176470584
40,1.0,1.0,1.0,0.9999999999999976,1.0,type A,8,0.5999999999999996,0.5,0.49999999999999933
41,1.0,1.0,1.0,0.9999999999999976,0.8205128205128205,type B,8,0.6358974358974355,0.5448717948717949,0.5448717948717943
42,1.0,1.0,1.0,0.1249999999999978,0.4102564102564102,type C,8,0.5429487179487176,0.6474358974358975,0.4286858974358969
43,1.0,0.25,1.0,0.125,0.4615384615384615,type D,8,0.3826923076923077,0.44711538461538464,0.22836538461538464
44,1.0,1.0,1.0,0.125,0.6666666666666666,type E,8,0.4916666666666668,0.5833333333333334,0.36458333333333337
45,1.0,1.0,1.0,0.9999999999999992,0.5897435897435898,type F,8,0.682051282051282,0.6025641025641025,0.6025641025641023
46,1.0,1.0,1.0,0.9999999999999968,0.5384615384615384,type G,8,0.6923076923076918,0.6153846153846154,0.6153846153846146
47,1.0,1.0,1.0,0.9999999999999976,0.5641025641025641,type H,8,0.6871794871794867,0.608974358974359,0.6089743589743584
48,1.0,1.0,1.0,0.9999999999999988,1.0,type A,9,0.5999999999999999,0.5,0.49999999999999967
49,1.0,1.0,1.0,0.9999999999999988,0.8181818181818182,type B,9,0.6363636363636361,0.5454545454545454,0.5454545454545451
50,1.0,1.0,1.0,0.1111111111111108,0.4090909090909091,type C,9,0.5404040404040404,0.6477272727272727,0.4255050505050504
51,1.0,0.2222222222222222,1.0,0.1111111111111111,0.4545454545454545,type D,9,0.3757575757575758,0.44191919191919193,0.21969696969696975
52,1.0,1.0,1.0,0.1111111111111115,0.6590909090909091,type E,9,0.4904040404040405,0.5852272727272727,0.3630050505050506
53,1.0,1.0,1.0,0.999999999999998,0.5909090909090909,type F,9,0.6818181818181815,0.6022727272727273,0.6022727272727268
54,1.0,1.0,1.0,0.9999999999999936,0.5454545454545454,type G,9,0.6909090909090897,0.6136363636363636,0.6136363636363621
55,1.0,1.0,1.0,0.9999999999999962,0.5681818181818182,type H,9,0.6863636363636357,0.6079545454545454,0.6079545454545445
