,best_fitness,best_chromosome
13,-0.5999999999999999,[1 2 3 4 5 6 0 1 0 5 0 5 7 2 7 4 7 6 2 3 4 5 1 3 3 5 2 4 4 6 8 8 6 2 2 1]
14,-0.5999999999999999,[1 2 3 4 5 6 0 1 0 5 0 5 7 2 7 4 7 6 2 3 4 5 1 3 3 5 2 4 4 6 8 8 6 2 2 1]
15,-0.5999999999999999,[1 2 3 4 5 6 0 1 0 5 0 5 7 2 7 4 7 6 2 3 4 5 1 3 3 5 2 4 4 6 8 8 6 2 2 1]
16,-0.5999999999999999,[1 2 3 4 5 6 0 1 0 5 0 5 7 2 7 4 7 6 2 3 4 5 1 3 3 5 2 4 4 6 8 8 6 2 2 1]
17,-0.5999999999999999,[1 2 3 4 5 6 0 1 0 5 0 5 7 2 7 4 7 6 2 3 4 5 1 3 3 5 2 4 4 6 8 8 6 2 2 1]
18,-0.5999999999999999,[1 2 3 4 5 6 0 1 0 5 0 5 7 2 7 4 7 6 2 3 4 5 1 3 3 5 2 4 4 6 8 8 6 2 2 1]
19,-0.5999999999999999,[1 2 3 4 5 6 0 1 0 5 0 5 7 2 7 4 7 6 2 3 4 5 1 3 3 5 2 4 4 6 8 8 6 2 2 1]
20,-0.5999999999999999,[1 2 3 4 5 6 0 1 0 5 0 5 7 2 7 4 7 6 2 3 4 5 1 3 3 5 2 4 4 6 8 8 6 2 2 1]
21,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
22,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
23,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
24,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
25,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
26,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
27,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
28,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
29,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
30,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
31,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
32,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
33,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
34,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
35,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
36,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
37,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
38,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
39,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
40,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
41,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
42,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
43,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
44,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
45,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
46,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
47,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
48,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
49,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
